id;fname;mname;lname
1;reboot amidst amount;save;gestate
2;gah motionless;absent overcoat who;next than emerge
3;trustworthy mozzarella;pine;awareness pluck
4;if;bathhouse nervously woot;ceramic
5;whoever duster;ample untried parsnip;duh huzzah millet
6;forearm beautifully equally;murky;toward obsess
7;cruelly tuxedo;queasily daily fooey;gosh
8;gallivant pomelo immediately;under pro;upbeat huzzah vastly
9;partially;dual past;and cow modulo
10;equatorial;aw oof discontinue;adviser drat continually
